Title	FRED Chemgauss4 score
C82644253	P129155959	-10.077183
C93975550	P147291564	-10.073622
C36896014	P54845933	-10.066238
C05248176	P07761419	-10.058138
C94871779	P148706776	-10.050111
C43287250	P65476418	-10.049334
C94208176	P147647080	-10.044065
C45084447	P128457551	-10.043382
C72169033	P112081059	-10.042452
C37672949	P56023838	-10.042343
C41118879	P62412466	-10.042244
C83778410	P131081130	-10.041715
C35423264	P52560422	-10.031559
C97776743	P155157585	-10.031393
C51818984	P77620782	-10.025002
C50393690	P75386039	-10.021112
C87993543	P137628739	-10.007840
C61875170	P94810310	-9.997922
C70438307	P108611322	-9.994313
C72430167	P112678220	-9.993962
C95045183	P149000638	-9.992741
C00246565	P05178208	-9.991203
C08382902	P52268118	-9.987796
C88889534	P139043986	-9.986151
C37820463	P56254837	-9.983805
C62706836	P96218758	-9.972923
C19323396	P28918816	-9.967145
C71322880	P110269358	-9.962067
C42805961	P64708179	-9.952079
C91280072	P142762411	-9.950858
C91504798	P143198797	-9.947947
C94871780	P148706777	-9.944983
C90107205	P140837949	-9.935796
C05103731	P07540286	-9.933146
C75848109	P118209303	-9.926155
C94090967	P147456094	-9.925644
GPNA	P10000029	-9.921970
C95891368	P150946078	-9.921406
C97526444	P154508284	-9.919634
C89832756	P140428014	-9.918533
BenzylSerine	P10000007	-9.911452
C67822127	P104135382	-9.911444
C87618088	P137068422	-9.910379
C87061796	P136265586	-9.904135
C45109192	P68000615	-9.899724
C93361256	P146174107	-9.898358
C91290832	P142798148	-9.897702
C67820544	P104133783	-9.897524
C00190830	P12690408	-9.897491
C20546222	P30637893	-9.895752
C97534945	P154539649	-9.895701
C41043428	P138194779	-9.891737
C32444249	P47755223	-9.891444
C77257676	P120527372	-9.889319
C94072275	P147433706	-9.885394
C97535031	P154539735	-9.883870
C72199958	P112158429	-9.880253
C49753446	P74337722	-9.878507
C04962298	P07250663	-9.878352
C13640670	P155893162	-9.875682
C79970268	P124969563	-9.874449
C68645088	P105396542	-9.870236
C88628307	P138624546	-9.862293
C83551924	P130695650	-9.861826
C87600283	P137027686	-9.860965
C87588301	P137003099	-9.858150
C04280713	P60311314	-9.852049
C95922757	P151023630	-9.846645
C40306071	P61188732	-9.843777
C50674474	P80478612	-9.841851
C44686306	P67425244	-9.839985
C48630515	P72697623	-9.831446
C90670312	P141810387	-9.828723
C97646842	P154797472	-9.821863
C72200101	P112162253	-9.819633
C87732307	P137229475	-9.818233
C43596919	P128434399	-9.812047
C40229108	P61083142	-9.796280
C94371941	P147915902	-9.786131
C93829841	P147036827	-9.784890
C70295850	P108368573	-9.782865
C87826162	P137377939	-9.782699
C60280354	P92047733	-9.781071
C70239492	P108269149	-9.780723
C36872464	P54806293	-9.780040
C94233960	P147687780	-9.779780
C45088381	P67962157	-9.779650
C41068534	P62332866	-9.778090
C36807941	P54704637	-9.762300
C88028385	P137679006	-9.760093
C86437548	P135333756	-9.755599
C87875617	P137452266	-9.749020
C50649018	P75778015	-9.744571
C01646389	P06812831	-9.743755
C63180763	P97025531	-9.740976
C31963761	P48096834	-9.740801
C84208274	P131759461	-9.738962
C83142747	P129966553	-9.728436
C93828570	P147036134	-9.728203
C78950540	P123230102	-9.718421
C87886071	P137463365	-9.718035
C79002563	P123337484	-9.717255
C94924566	P148790109	-9.711521
C87666352	P137137147	-9.708864
C97747319	P155077223	-9.705445
C37487654	P55750519	-9.704712
C89086820	P139339947	-9.704213
C06184878	P09576514	-9.702686
C77727057	P121295132	-9.700918
C61594745	P94307894	-9.695513
C87344280	P136645279	-9.691549
C88168122	P137882102	-9.685307
C90312594	P141186229	-9.684956
C82578002	P129061742	-9.678185
C61656861	P94432918	-9.670769
C88371168	P138217588	-9.669205
C97910502	P155409201	-9.656459
C91018745	P142410634	-9.654150
C86106023	P134821924	-9.642977
C87513557	P136883589	-9.641929
C05002210	P07335902	-9.637838
C88870650	P139021098	-9.635371
C83993337	P131402648	-9.632010
C71266836	P110163305	-9.629970
C49587665	P74065899	-9.626985
C05749668	P112644024	-9.623935
C80590635	P125852228	-9.615272
C69232463	P106461500	-9.613548
C97831917	P155269791	-9.613422
C40304308	P61186967	-9.612867
C41058875	P62326300	-9.608761
C63135618	P96947687	-9.602492
C54497698	P82017927	-9.599565
C02278807	P06824920	-9.599083
C35415528	P52545805	-9.597003
C82574931	P129060506	-9.593872
C37036752	P55054206	-9.590400
C87303022	P136588315	-9.589260
C43258832	P65426456	-9.584794
C86276238	P135094255	-9.584701
C84057443	P131532065	-9.583261
C80043308	P125038908	-9.577307
C94232859	P147685151	-9.576882
C94628551	P148327832	-9.573358
C40710439	P61811697	-9.573196
C97248644	P154004608	-9.570463
C92954709	P145532580	-9.569019
C37044345	P55071484	-9.566129
C87588301	P137003098	-9.564268
C87599797	P137038360	-9.562684
C70419488	P108576612	-9.562428
C97556105	P154592888	-9.553704
C93778801	P146919869	-9.553660
4C_CG2012	P10000016	-9.548592
C70948188	P109520132	-9.545473
C40807009	P61962224	-9.543916
C87448699	P136806035	-9.534479
C37750230	P56129578	-9.531889
C97773409	P155153740	-9.528282
C80996774	P126495927	-9.526728
C82515853	P128952133	-9.525465
C92207445	P144379857	-9.523805
C41011592	P62245845	-9.521938
C94940105	P148828684	-9.510508
C84405170	P132073028	-9.503374
C54526614	P82058992	-9.502403
C93895763	P147157618	-9.501503
C89190689	P139492315	-9.490110
C12876633	P18914539	-9.487758
C97643416	P154810398	-9.482126
C88490101	P138409497	-9.475958
C54526408	P82058826	-9.475340
C39959114	P97216792	-9.469845
C50392648	P75365168	-9.463877
C87900218	P137491256	-9.452816
C63143169	P96955688	-9.445461
C41047746	P88350758	-9.441339
C87446939	P136794831	-9.440944
C71178555	P109891495	-9.439937
C50141891	P128496873	-9.439071
C08653312	P88384198	-9.429468
C59482774	P130209950	-9.429255
C61808721	P94689477	-9.427370
C40509678	P61509681	-9.422902
C54700285	P82325531	-9.421268
C83824098	P131129758	-9.418237
C71215192	P109951876	-9.415304
C04403147	P153350511	-9.414827
C83500168	P130624190	-9.414506
C88984598	P139179454	-9.410206
C54897756	P82660573	-9.409309
C36877036	P54824324	-9.406110
C67844972	P104163880	-9.404390
C83746311	P131018920	-9.404222
C93825618	P147013249	-9.402766
C05669319	P122489113	-9.398170
C50306591	P75244020	-9.398013
C94230257	P147684548	-9.396006
C42040378	P88561192	-9.382566
C97344605	P154171042	-9.382024
C35716825	P53011960	-9.376726
C55351659	P83373187	-9.370412
C80627122	P125899765	-9.369360
C79162526	P123601573	-9.364269
C86400076	P135284226	-9.361897
C92988027	P145579086	-9.359529
C27865868	P41105896	-9.358046
C71791139	P111281991	-9.356073
C53110661	P79635694	-9.353102
C34797558	P51637068	-9.346650
C70680111	P109060696	-9.342613
C41058628	P62323748	-9.338164
C87588455	P137001872	-9.334168
C06184893	P09576532	-9.330869
C87969103	P137597619	-9.324746
C86576375	P135532690	-9.322527
C47822425	P71595812	-9.318749
C54503944	P82019601	-9.315277
C42920684	P64883577	-9.314797
C45073360	P67936567	-9.307771
C51362684	P76947179	-9.302015
C62209210	P95475553	-9.301330
C97762331	P155116902	-9.298585
C54140268	P81447142	-9.298433
C45089252	P67952041	-9.295645
C34516107	P59205293	-9.289324
C19331409	P28924605	-9.278222
C97786166	P155186326	-9.272644
C84057443	P131527988	-9.270268
C92560841	P144877663	-9.262502
C97761317	P155115888	-9.258368
C88421206	P138299941	-9.258365
C04081558	P57373222	-9.258015
C39094985	P59234642	-9.255796
C41066225	P62330552	-9.250933
C83523757	P130642951	-9.238536
C36746501	P54604745	-9.235077
C91671604	P143506818	-9.231271
C40377149	P61293722	-9.230662
C94112850	P147484958	-9.228013
C94238561	P147683886	-9.224758
C22012448	P32767994	-9.221376
C90805554	P142050179	-9.218449
C94794084	P148574506	-9.214592
C03455687	P09296976	-9.212571
C87759253	P137266296	-9.204303
C71148292	P109848264	-9.203557
C87697014	P137174208	-9.203345
C97588393	P154677190	-9.201756
C97734229	P155054892	-9.198855
C49185038	P73462564	-9.190351
C42440727	P64190320	-9.186438
C48841183	P72986091	-9.186071
C41058784	P62326215	-9.184276
C89754839	P140318181	-9.167645
C62789402	P96350782	-9.164774
C87600448	P137027764	-9.162041
C97617862	P154764065	-9.159777
C63063083	P96833322	-9.159642
C39343967	P155915743	-9.153158
C97941799	P155495002	-9.149718
C69181716	P106379143	-9.146621
C70911053	P109452755	-9.144858
C78452166	P122388941	-9.132582
C72200439	P112158916	-9.132479
C90311277	P141184880	-9.132040
C85654775	P134095763	-9.130234
C54791059	P82480672	-9.120646
C93848609	P147064787	-9.120294
C35137616	P88193130	-9.114890
C97361815	P154194864	-9.108633
C42294727	P63999288	-9.107533
C87518688	P136898546	-9.103728
C00162133	P05572005	-9.102848
C82838441	P129490404	-9.102444
C91299939	P142817028	-9.099093
L-Glutamine	P10000020	-9.095451
C84143509	P131667660	-9.094781
C03672342	P06747335	-9.091226
