Title	FRED Chemgauss4 score
C80540978	P125746331	-7.182196
C90644921	P141781001	-7.174670
C95045183	P149000638	-7.172021
C37750230	P56129578	-7.169858
C20438719	P129507092	-7.167302
C69506331	P106964096	-7.165448
C63135344	P96965078	-7.162035
C87572129	P136980498	-7.160793
C82561211	P129033962	-7.147976
C42040378	P88561192	-7.147203
C89754839	P140318181	-7.146659
C22059796	P32818392	-7.145451
C87446092	P136813147	-7.144369
C85446673	P133732895	-7.142797
C22012448	P32767994	-7.140298
C40710779	P61812576	-7.135107
C87111177	P136357235	-7.132735
C42920684	P64883577	-7.127211
C91496157	P143180366	-7.126226
C87061796	P136265586	-7.123216
C83693351	P130916066	-7.118430
C63132327	P96937982	-7.115881
C80052265	P125060489	-7.111156
C34604564	P120599899	-7.109931
C05669319	P122489113	-7.109188
C04544532	P06219521	-7.099166
C12876633	P18914539	-7.096473
C97832325	P155280059	-7.076482
C70005397	P107943213	-7.076268
C40729842	P61849313	-7.073186
C26895734	P39655131	-7.072210
C82900115	P129596089	-7.070921
C85302973	P133481584	-7.069748
C87666364	P137137159	-7.069690
C86433852	P135331542	-7.068757
C85227045	P133358857	-7.065273
C04097150	P05160868	-7.061852
C01081240	P08266848	-7.057774
C80627122	P125899765	-7.057573
C88037184	P137697140	-7.049406
C85963592	P134595762	-7.045547
C88028385	P137679006	-7.039287
C37044345	P55071484	-7.036450
C04544517	P06219504	-7.036146
C70394015	P108532505	-7.036082
C67725038	P103995721	-7.034845
C92954709	P145532580	-7.032995
C55166662	P83101249	-7.025889
C87339114	P136639590	-7.020611
C63143169	P96955688	-7.019466
C83440903	P130531180	-7.017319
C04334611	P61785085	-7.009883
C85790865	P134349332	-7.008955
C04403143	P05907347	-7.003890
C36872464	P54806293	-6.996750
C84405529	P132100048	-6.995678
C51003953	P128525420	-6.990457
C58195219	P87824751	-6.989256
C87427527	P136769775	-6.989005
C85419065	P133674711	-6.987112
C67786338	P104082259	-6.986117
C41058632	P62326118	-6.985689
C83281337	P130183447	-6.980416
C86695381	P135727229	-6.978837
C49351888	P73718031	-6.978196
C00143779	P09002034	-6.967789
C65742667	P101141789	-6.964807
C76166875	P118803985	-6.964231
C88371168	P138217588	-6.962514
C50394896	P75386401	-6.958385
C94371941	P147915902	-6.955138
C70680111	P109060696	-6.954184
C42920684	P64883579	-6.950399
C38038841	P57193979	-6.948945
C90953253	P142274861	-6.946918
C82399830	P128760099	-6.946248
C03672342	P06747335	-6.941143
C95881887	P150922172	-6.940084
C85619734	P134078263	-6.939554
C69506335	P122369156	-6.936913
C40710569	P61812514	-6.934780
C87588301	P137003098	-6.934573
C71322880	P110269358	-6.929980
C82578002	P129061742	-6.929505
C87869111	P137439811	-6.927017
C21519997	P59373064	-6.919112
C36877036	P120919263	-6.915066
C72210676	P112179503	-6.913986
C54526614	P82058992	-6.904801
C83937285	P131339710	-6.903886
C37902477	P56948622	-6.901731
C11616542	P120183584	-6.898577
C98090319	P155911238	-6.896843
C87618088	P137068422	-6.896201
C54498092	P82014584	-6.892376
C08299019	P108959850	-6.887662
C69691212	P107337996	-6.886809
C85248400	P133393697	-6.879923
C83811975	P131111335	-6.873400
C88490101	P138409497	-6.873022
C72169033	P112081059	-6.871997
C90312594	P141186229	-6.871708
C85200009	P133290367	-6.871582
C97760673	P155145279	-6.869830
C94232859	P147685151	-6.867846
C90312824	P141186511	-6.865758
C03830889	P56794640	-6.863416
C86057603	P134789567	-6.856481
C34977828	P51916462	-6.851399
C82897720	P129591541	-6.843612
C20443548	P30507208	-6.841867
C87588301	P137003099	-6.838815
C86157456	P134917516	-6.821961
C41052378	P62314790	-6.818347
C85254231	P133394284	-6.818259
C70628574	P108955020	-6.815436
C37787742	P56188607	-6.812674
C83694167	P130926929	-6.807743
C95534816	P150162202	-6.804775
C45174993	P68086517	-6.804729
C86434269	P135332511	-6.798490
C37468781	P55706687	-6.796892
C85420816	P133703560	-6.793277
C42040894	P63623732	-6.790888
C05829972	P08722974	-6.787567
C82774730	P129384350	-6.786467
C91468339	P143138873	-6.782890
C40710778	P61812575	-6.778485
C13544124	P57737090	-6.777762
C68645088	P105396542	-6.775405
C86434335	P135332703	-6.772215
C39060572	P59188184	-6.769431
