Title	FRED Chemgauss4 score
C41066225	P62330552	-7.135810
C06317442	P09891162	-7.128359
C50306591	P75244020	-7.126012
C35354185	P52456381	-7.124891
C85200009	P133290367	-7.124331
C83591180	P130750978	-7.121189
C71215192	P109951876	-7.107073
C88023610	P137670459	-7.099605
C78452166	P122388941	-7.097557
C40710778	P61812575	-7.096845
C87448699	P136806035	-7.093848
C86157456	P134917516	-7.091580
C61808721	P94689477	-7.086927
C34977828	P51916462	-7.085103
C85962559	P134593572	-7.082635
C91503966	P143194116	-7.081342
Schulte-2016	-7.079098
C40509678	P61509681	-7.078310
C85446673	P133732895	-7.074244
C69506331	P106964096	-7.072304
C97747319	P155077223	-7.071857
C87875617	P137452266	-7.064562
C39094979	P59234636	-7.061263
C87344568	P136645691	-7.060344
C63134484	P96941863	-7.059151
C40369350	P61284191	-7.057766
C51840091	P77649079	-7.051989
C82583507	P129059864	-7.049834
C35367280	P52475196	-7.046391
C83500168	P130624190	-7.044039
C93751937	P146891062	-7.041906
C42040419	P63626314	-7.039181
C84143509	P131667660	-7.037356
C01646389	P06812831	-7.029176
C40304308	P61186967	-7.023313
C72197386	P112154929	-7.020288
C87395422	P136737161	-7.018436
C96551227	P152575900	-7.013103
C90312594	P141186229	-7.009221
C87968908	P137595317	-7.002663
C08653312	P88384198	-6.999586
C37750230	P56129578	-6.996267
C63154913	P96986964	-6.993809
C79970268	P124969563	-6.982599
C89855498	P140455637	-6.979992
C61843867	P94755243	-6.979607
C85802150	P134355349	-6.976421
C03843087	P04506273	-6.972207
C83778410	P131081130	-6.971918
C31963761	P48096834	-6.969824
C93296832	P146059061	-6.969188
C94628551	P148327832	-6.957712
C88750425	P138824152	-6.955601
C85544558	P133897552	-6.953003
C39941431	P60608793	-6.952374
C71178555	P109891495	-6.946584
C63932433	P98159463	-6.936708
C83746314	P131018925	-6.930037
C82915766	P129631297	-6.925965
C93778801	P146919869	-6.924253
C76166875	P118803985	-6.923689
C77426586	P120815757	-6.919516
C43705453	P66072042	-6.903381
C87583858	P137000855	-6.898120
C63405356	P97370607	-6.893466
C16137473	P24436333	-6.888247
C91290832	P142798148	-6.887729
C80531825	P125774743	-6.884927
C70419488	P108576612	-6.883871
C19428761	P28756483	-6.883541
C88037226	P137697175	-6.882374
C01596463	P139535506	-6.879930
C49350690	P84543526	-6.875991
C90017133	P140710816	-6.872596
C70062489	P107994538	-6.867056
C92775311	P145220810	-6.866240
C37580833	P55894510	-6.861668
C45014850	P67846596	-6.860699
C82988366	P129757104	-6.860012
C55166662	P83101249	-6.856272
C82467311	P128880080	-6.855389
C69506335	P122369156	-6.853004
C82515853	P128952133	-6.844381
C85419065	P133674711	-6.843714
C88000630	P137646920	-6.840590
C04334611	P61785085	-6.840401
C91496157	P143180366	-6.837599
C85420816	P133703560	-6.837136
C97646842	P154797472	-6.824096
C90312751	P141186425	-6.821573
C97344605	P154171042	-6.817564
C01762927	P05459972	-6.816568
C83804931	P131109815	-6.810561
C79001101	P123335886	-6.810512
C44197910	P66763191	-6.803551
C72198462	P112155832	-6.803447
C79403161	P124075411	-6.800849
C87400800	P136736128	-6.800010
C82468597	P128880427	-6.795687
C38523819	P132606343	-6.791961
C84991419	P133024252	-6.789841
C62209210	P95475553	-6.788998
C87303022	P136588315	-6.787499
C54526614	P82058992	-6.784974
C50673182	P75791398	-6.782572
C37730086	P56098235	-6.782551
C87344280	P136645279	-6.780467
C06184878	P09576514	-6.780038
C45064847	P67934202	-6.779504
C42613227	P89359521	-6.779359
C93827756	P147015387	-6.776277
C86057603	P134789567	-6.775718
C49184176	P73460942	-6.765322
C82473325	P128885474	-6.760263
C94465098	P148064370	-6.754982
C77237642	P120494560	-6.748974
C72200101	P112162253	-6.748023
C87750457	P137259032	-6.744654
C37044345	P55071484	-6.741165
C86525873	P135471823	-6.736940
C70680111	P109060696	-6.736085
C72200928	P112162344	-6.727478
C93756940	P146892601	-6.720266
C87427527	P136769775	-6.718988
C05725726	P08547959	-6.718088
C82897318	P129593492	-6.717134
C88853175	P138986328	-6.714460
C86453848	P135358716	-6.713988
C53110661	P79635694	-6.704346
C97694173	P154943471	-6.701373
C88628307	P138624546	-6.698287
C93848609	P147064787	-6.696428
C64858422	P99657934	-6.696311
C97617202	P154726500	-6.693875
C80566884	P125793118	-6.692058
C38006454	P120930283	-6.689857
C87440497	P136787961	-6.687042
C42294727	P63999288	-6.686922
C51995896	P77859556	-6.677290
C94072275	P147433706	-6.676736
C84081042	P131595110	-6.669688
C83694167	P130926929	-6.658905
C82515433	P128953608	-6.657907
C36239306	P53850107	-6.657349
C69181716	P106379143	-6.656102
C92988027	P145579086	-6.648444
C77727057	P121295132	-6.646184
